num_fog_nodes,scheduling_latency_ms,workload_imbalance,scheduling_comm_kb,convergence_time_epochs
5,0.000049,0.984088,500.000000,0.000000
10,0.000049,1.950007,1000.000000,0.000000
15,0.000050,1.912525,1500.000000,0.000000
20,0.000050,1.789449,2000.000000,0.000000
25,0.000050,1.672516,2500.000000,0.000000
30,0.000050,1.569131,3000.000000,0.000000
35,0.000050,1.481456,3500.000000,0.000000
40,0.000050,1.405126,4000.000000,0.000000
45,0.000050,1.339515,4500.000000,0.000000
50,0.000050,1.281431,5000.000000,0.000000
